Id	Part2b	Part2t	Part1	Scope	Language_Type	Ref_Name	Comment
bbj				I	L	Ghomálá'	
gho				I	E	Ghomara	
aaa				I	L	Ghotuo	
ghl				I	L	Ghulfan	
bgi				I	L	Giangan	
gib				I	L	Gibanawa	
gid				I	L	Gidar	
kks				I	L	Giiwo	
acd				I	L	Gikyode	
glk				I	L	Gilaki	
gil	gil	gil		I	L	Gilbertese	
gix				I	L	Gilima	
niv				I	L	Gilyak	
gim				I	L	Gimi (Eastern Highlands)	
gip				I	L	Gimi (West New Britain)	
kmp				I	L	Gimme	
gmn				I	L	Gimnime	
gnm				I	L	Ginuman	
ayg				I	L	Ginyanga	
bbr				I	L	Girawa	
gii				I	L	Girirra	
nyf				I	L	Giryama	
gih				I	L	Githabul	
toh				I	L	Gitonga	
ggt				I	L	Gitua	
git				I	L	Gitxsan	
giy				I	L	Giyug	
tof				I	L	Gizrra	
glr				I	L	Glaro-Twabo	
glw				I	L	Glavda	
oub				I	L	Glio-Oubi	
gnu				I	L	Gnau	
gom				I	L	Goan Konkani	
gig				I	L	Goaria	
goi				I	L	Gobasi	
gox				I	L	Gobu	
god				I	L	Godié	
gdx				I	L	Godwari	
ank				I	L	Goemai	
gof				I	L	Gofa	
gog				I	L	Gogo	
ggw				I	L	Gogodala	
gkn				I	L	Gokana	
gol				I	L	Gola	
gvf				I	L	Golin	
lja				I	E	Golpa	
gon	gon	gon		M	L	Gondi	
goo				I	L	Gone Dau	
goe				I	L	Gongduk	
gjn				I	L	Gonja	
gov				I	L	Goo	
gni				I	L	Gooniyandi	
gqr				I	L	Gor	
goc				I	L	Gorakor	
goq				I	L	Gorap	
xgg				I	E	Goreng	
gor	gor	gor		I	L	Gorontalo	
grq				I	L	Gorovu	
gow				I	L	Gorowa	
got	got	got		I	H	Gothic	
goy				I	L	Goundo	
gux				I	L	Gourmanchéma	
goj				I	L	Gowlan	
gok				I	L	Gowli	
gwf				I	L	Gowro	
goz				I	L	Gozarkhani	
nli				I	L	Grangali	
kbk				I	L	Grass Koiari	
grb	grb	grb		M	L	Grebo	
gss				I	L	Greek Sign Language	
giq				I	L	Green Gelao	
gcl				I	L	Grenadian Creole English	
grs				I	L	Gresi	
gro				I	L	Groma	
gos				I	L	Gronings	
ats				I	L	Gros Ventre	
gwx				I	L	Gua	
gcf				I	L	Guadeloupean Creole French	
guh				I	L	Guahibo	
gvj				I	L	Guajá	
gub				I	L	Guajajára	
gum				I	L	Guambiano	
gqn				I	E	Guana (Brazil)	
gva				I	L	Guana (Paraguay)	
gvc				I	L	Guanano	
